Stationary,,,,,,,,,,,,,,,Rising,,,,,Lowering,,,
PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,228,6,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,8,7,2,,,,,
,,,,,,,,,,,,,,,9,17,7,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,8,7,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,44,7,2,,,,,
,,,,,,,,,,,,,,,9,53,7,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,44,7,134,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,83,7,2,,,,,
,,,,,,,,,,,,,,,9,89,7,2,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,215,7,135,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,116,7,3,,,,,
,,,,,,,,,,,,,,,9,125,7,3,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,215,7,135,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,143,7,3,,,,,
,,,,,,,,,,,,,,,9,149,7,3,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,215,7,135,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,158,7,3,,,,,
,,,,,,,,,,,,,,,9,164,7,3,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,164,7,132,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,224,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
,,,,,,,,,,,,,,,17,0,0,0,,,,,
,,,,,,,,,,,,,,,8,161,7,96,,,,,
,,,,,,,,,,,,,,,9,167,7,96,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,16,,,,,,,,
,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,,,,,,,,18,167,7,252,,,,,
