!CHK!,
Protected ID: 61,RESP
Data 0: 9,RESP
Data 1: 1,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 3,
Data 1: 6,
Data 2: 12,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 12,RESP
Data 1: 26,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 3,
Data 1: 6,
Data 2: 13,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 13,RESP
Data 1: 198,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 3,
Data 1: 6,
Data 2: 10,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 10,RESP
Data 1: 0,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 3,
Data 1: 6,
Data 2: 11,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 11,RESP
Data 1: 95,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 3,
Data 1: 4,
Data 2: 0,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 255,RESP
Data 1: 0,RESP
Data 2: 0,RESP
Data 3: 0,RESP
Data 4: 0,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 4,
Data 1: 2,
Data 2: 0,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 5,
Data 1: 2,
Data 2: 0,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 255,RESP
Data 1: 0,RESP
Data 2: 0,RESP
Data 3: 0,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 5,
Data 1: 6,
Data 2: 9,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 9,RESP
Data 1: 1,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 5,
Data 1: 6,
Data 2: 12,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 12,RESP
Data 1: 26,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 5,
Data 1: 6,
Data 2: 13,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 13,RESP
Data 1: 198,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 5,
Data 1: 6,
Data 2: 10,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 10,RESP
Data 1: 0,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 5,
Data 1: 6,
Data 2: 11,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 11,RESP
Data 1: 95,RESP
Data 2: 255,RESP
Data 3: 255,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 5,
Data 1: 4,
Data 2: 1,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 255,RESP
Data 1: 1,RESP
Data 2: 0,RESP
Data 3: 0,RESP
Data 4: 0,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 6,
Data 1: 2,
Data 2: 1,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 7,
Data 1: 2,
Data 2: 1,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 208,
Data 1: 1,
Data 2: 7,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 208,
Data 1: 2,
Data 2: 7,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
