Protected ID: 60,
Data 0: 255,
Data 1: 7,
Data 2: 255,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 255,
Data 1: 7,
Data 2: 255,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 255,
Data 1: 1,
Data 2: 7,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 208,
Data 1: 2,
Data 2: 7,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 255,RESP
!FRAME!,
Protected ID: 60,
Data 0: 0,
Data 1: 2,
Data 2: 7,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 1,
Data 1: 2,
Data 2: 7,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 2,
Data 1: 2,
Data 2: 7,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,
Protected ID: 60,
Data 0: 3,
Data 1: 2,
Data 2: 7,
Data 3: 255,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
!CHK!,
Protected ID: 61,RESP
Data 0: 255,RESP
Data 1: 0,RESP
Data 2: 0,RESP
Data 3: 0,RESP
Data 4: 255,RESP
Data 5: 255,RESP
Data 6: 255,RESP
Data 7: 255,RESP
!CHK!,
Protected ID: 60,
Data 0: 3,
Data 1: 6,
Data 2: 9,
Data 3: 0,
Data 4: 255,
Data 5: 255,
Data 6: 255,
Data 7: 255,
