Time [s], Analyzer Name, Decoded Protocol Result
3.122694875000000,LIN,Header Break
3.123367375000000,LIN,Inter-Byte Space
3.123473375000000,LIN,Header Sync
3.123967375000000,LIN,Inter-Byte Space
3.124044375000000,LIN,Protected ID: 60
3.124538375000000,LIN,Inter-Byte Space
3.124874750000000,LIN,Data 0: 255
3.125368750000000,LIN,Inter-Byte Space
3.125393875000000,LIN,Data 1: 7
3.125887875000000,LIN,Inter-Byte Space
3.125912875000000,LIN,Data 2: 255
3.126406875000000,LIN,Inter-Byte Space
3.126431875000000,LIN,Data 3: 255
3.126925875000000,LIN,Inter-Byte Space
3.126950875000000,LIN,Data 4: 255
3.127444875000000,LIN,Inter-Byte Space
3.127470000000000,LIN,Data 5: 255
3.127964000000000,LIN,Inter-Byte Space
3.127989000000000,LIN,Data 6: 255
3.128483000000000,LIN,Inter-Byte Space
3.128507875000000,LIN,Data 7: 255
3.129001875000000,LIN,Inter-Byte Space
3.129026875000000,LIN,!CHK!
3.132660000000000,LIN,Header Break
3.133362000000000,LIN,Inter-Byte Space
3.133438500000000,LIN,Header Sync
3.133932500000000,LIN,Inter-Byte Space
3.134009375000000,LIN,Protected ID: 61
3.147710250000000,LIN,Header Break
3.148382625000000,LIN,Inter-Byte Space
3.148488625000000,LIN,Header Sync
3.148982625000000,LIN,Inter-Byte Space
3.149215250000000,LIN,Protected ID: 60
3.149709250000000,LIN,Inter-Byte Space
3.150097500000000,LIN,Data 0: 255
3.150591500000000,LIN,Inter-Byte Space
3.150616500000000,LIN,Data 1: 7
3.151110500000000,LIN,Inter-Byte Space
3.151135500000000,LIN,Data 2: 255
3.151629500000000,LIN,Inter-Byte Space
3.151654500000000,LIN,Data 3: 255
3.152148500000000,LIN,Inter-Byte Space
3.152173500000000,LIN,Data 4: 255
3.152667500000000,LIN,Inter-Byte Space
3.152692500000000,LIN,Data 5: 255
3.153186500000000,LIN,Inter-Byte Space
3.153211375000000,LIN,Data 6: 255
3.153705375000000,LIN,Inter-Byte Space
3.153730375000000,LIN,Data 7: 255
3.154224375000000,LIN,Inter-Byte Space
3.154249250000000,LIN,!CHK!
3.157622500000000,LIN,Header Break
3.158324500000000,LIN,Inter-Byte Space
3.158401000000000,LIN,Header Sync
3.158895000000000,LIN,Inter-Byte Space
3.158971875000000,LIN,Protected ID: 61
3.172621875000000,LIN,Header Break
3.173294375000000,LIN,Inter-Byte Space
3.173400500000000,LIN,Header Sync
3.173894500000000,LIN,Inter-Byte Space
3.174179000000000,LIN,Protected ID: 60
3.174673000000000,LIN,Inter-Byte Space
3.175009500000000,LIN,Data 0: 255
3.175503500000000,LIN,Inter-Byte Space
3.175528625000000,LIN,Data 1: 1
3.176022625000000,LIN,Inter-Byte Space
3.176047625000000,LIN,Data 2: 7
3.176541625000000,LIN,Inter-Byte Space
3.176566625000000,LIN,Data 3: 255
3.177060625000000,LIN,Inter-Byte Space
3.177085750000000,LIN,Data 4: 255
3.177579750000000,LIN,Inter-Byte Space
3.177604625000000,LIN,Data 5: 255
3.178098625000000,LIN,Inter-Byte Space
3.178123500000000,LIN,Data 6: 255
3.178617500000000,LIN,Inter-Byte Space
3.178642500000000,LIN,Data 7: 255
3.179136500000000,LIN,Inter-Byte Space
3.179161375000000,LIN,!CHK!
3.182586875000000,LIN,Header Break
3.183288875000000,LIN,Inter-Byte Space
3.183365500000000,LIN,Header Sync
3.183859500000000,LIN,Inter-Byte Space
3.183884500000000,LIN,Protected ID: 61
3.197587375000000,LIN,Header Break
3.198259875000000,LIN,Inter-Byte Space
3.198366000000000,LIN,Header Sync
3.198860000000000,LIN,Inter-Byte Space
3.199092625000000,LIN,Protected ID: 60
3.199586625000000,LIN,Inter-Byte Space
3.199974875000000,LIN,Data 0: 208
3.200468875000000,LIN,Inter-Byte Space
3.200493875000000,LIN,Data 1: 2
3.200987875000000,LIN,Inter-Byte Space
3.201012750000000,LIN,Data 2: 7
3.201506750000000,LIN,Inter-Byte Space
3.201531750000000,LIN,Data 3: 255
3.202025750000000,LIN,Inter-Byte Space
3.202050750000000,LIN,Data 4: 255
3.202544750000000,LIN,Inter-Byte Space
3.202569750000000,LIN,Data 5: 255
3.203063750000000,LIN,Inter-Byte Space
3.203088750000000,LIN,Data 6: 255
3.203582750000000,LIN,Inter-Byte Space
3.203607625000000,LIN,Data 7: 255
3.204101625000000,LIN,Inter-Byte Space
3.204126500000000,LIN,!CHK!
3.207551750000000,LIN,Header Break
3.208253750000000,LIN,Inter-Byte Space
3.208330375000000,LIN,Header Sync
3.208824375000000,LIN,Inter-Byte Space
3.209108875000000,LIN,Protected ID: 61
3.209602875000000,LIN,Inter-Byte Space
3.209839250000000,LIN,Data 0: 254
3.222550750000000,LIN,Header Break
3.223223250000000,LIN,Inter-Byte Space
3.223329250000000,LIN,Header Sync
3.223823250000000,LIN,Inter-Byte Space
3.224055875000000,LIN,Protected ID: 60
3.224549875000000,LIN,Inter-Byte Space
3.224938250000000,LIN,Data 0: 0
3.225432250000000,LIN,Inter-Byte Space
3.225457250000000,LIN,Data 1: 2
3.225951250000000,LIN,Inter-Byte Space
3.225976125000000,LIN,Data 2: 7
3.226470125000000,LIN,Inter-Byte Space
3.226495250000000,LIN,Data 3: 255
3.226989250000000,LIN,Inter-Byte Space
3.227014250000000,LIN,Data 4: 255
3.227508250000000,LIN,Inter-Byte Space
3.227533250000000,LIN,Data 5: 255
3.228027250000000,LIN,Inter-Byte Space
3.228052250000000,LIN,Data 6: 255
3.228546250000000,LIN,Inter-Byte Space
3.228571375000000,LIN,Data 7: 255
3.229065375000000,LIN,Inter-Byte Space
3.229090375000000,LIN,!CHK!
3.232464000000000,LIN,Header Break
3.233166000000000,LIN,Inter-Byte Space
3.233242500000000,LIN,Header Sync
3.233736500000000,LIN,Inter-Byte Space
3.233813375000000,LIN,Protected ID: 61
3.247514875000000,LIN,Header Break
3.248187250000000,LIN,Inter-Byte Space
3.248293250000000,LIN,Header Sync
3.248787250000000,LIN,Inter-Byte Space
3.249019625000000,LIN,Protected ID: 60
3.249513625000000,LIN,Inter-Byte Space
3.249901750000000,LIN,Data 0: 1
3.250395750000000,LIN,Inter-Byte Space
3.250420625000000,LIN,Data 1: 2
3.250914625000000,LIN,Inter-Byte Space
3.250939500000000,LIN,Data 2: 7
3.251433500000000,LIN,Inter-Byte Space
3.251458375000000,LIN,Data 3: 255
3.251952375000000,LIN,Inter-Byte Space
3.251977375000000,LIN,Data 4: 255
3.252471375000000,LIN,Inter-Byte Space
3.252496250000000,LIN,Data 5: 255
3.252990250000000,LIN,Inter-Byte Space
3.253015000000000,LIN,Data 6: 255
3.253509000000000,LIN,Inter-Byte Space
3.253533875000000,LIN,Data 7: 255
3.254027875000000,LIN,Inter-Byte Space
3.254052875000000,LIN,!CHK!
3.257426000000000,LIN,Header Break
3.258128000000000,LIN,Inter-Byte Space
3.258204625000000,LIN,Header Sync
3.258698625000000,LIN,Inter-Byte Space
3.258775500000000,LIN,Protected ID: 61
3.259269500000000,LIN,Inter-Byte Space
3.259519250000000,LIN,Data 0: 255
3.260013250000000,LIN,Inter-Byte Space
3.260089500000000,LIN,Data 1: 0
3.260583500000000,LIN,Inter-Byte Space
3.260659750000000,LIN,Data 2: 0
3.261153750000000,LIN,Inter-Byte Space
3.261230000000000,LIN,Data 3: 0
3.261724000000000,LIN,Inter-Byte Space
3.261800250000000,LIN,Data 4: 255
