1,2,3,4,5,6,
Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,Data 2: 13,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,Data 0: 13,
Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,Data 1: 198,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,Data 2: 10,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,Data 0: 10,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,Data 2: 11,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,Data 0: 11,
Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,Data 1: 95,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 1,Data 0: 1,Data 0: 0,Data 0: 1,Data 0: 3,Data 0: 0,
Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,Data 1: 4,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,Data 4: 0,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 2,Data 0: 1,Data 0: 2,Data 0: 4,Data 0: 1,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
,Data 0: 3,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 2,
,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
,Protected ID: 60,,,,Protected ID: 60,
,Data 0: 4,,,,Data 0: 3,
,Data 1: 2,,,,Data 1: 2,
,Data 2: 0,,,,Data 2: 0,
,Data 3: 0,,,,Data 3: 0,
,,,,,,
,Protected ID: 60,,,,Protected ID: 60,
,Data 0: 5,,,,Data 0: 4,
,Data 1: 2,,,,Data 1: 2,
,Data 2: 0,,,,Data 2: 0,
,Data 3: 0,,,,Data 3: 0,
,,,,,,
,,,,,Protected ID: 60,
,,,,,Data 0: 5,
,,,,,Data 1: 2,
,,,,,Data 2: 0,
,,,,,Data 3: 0,
,,,,,,
,,,,,Protected ID: 60,
,,,,,Data 0: 6,
,,,,,Data 1: 2,
,,,,,Data 2: 0,
,,,,,Data 3: 0,
,,,,,,
,,,,,Protected ID: 60,
,,,,,Data 0: 7,
,,,,,Data 1: 2,
,,,,,Data 2: 0,
,,,,,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 2,Data 0: 5,Data 0: 2,Data 0: 3,Data 0: 5,Data 0: 7,
Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,Data 1: 6,
Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,Data 2: 9,
Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,Data 3: 0,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,Data 0: 9,
Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,
